"alpha","delta","factorization","n_reps","n_dropped","K_diag_KS_p","Koff_KS_p","Kslab_g1_KS_p","gamma_KS_p","runtime_s"
0.5,0,"hierarchical",999,1,0.981991112974753,3.03841398087625e-217,0.615186657685708,0.000207052638695876,306.978
1,0,"hierarchical",1000,0,0.576998176685479,1.05963272801987e-229,0.459442919002493,0.0242003931267535,242.391
2,0,"hierarchical",1000,0,0.239219363000139,1.11515681941162e-204,0.228842062939221,0.0121349976125939,316.54
0.5,1.15129254649702,"hierarchical",1000,0,0.101897779166064,2.31171927112226e-202,0.881187441605519,0.570561339055786,317.229
1,1.15129254649702,"hierarchical",1000,0,0.292082885396226,3.35145839663387e-198,0.340599164930692,0.950614519462764,238.216
2,1.15129254649702,"hierarchical",1000,0,0.239219363000139,8.07039888022225e-199,0.103872199518782,0.337582075732393,318.996
0.5,2,"hierarchical",1000,0,0.112249666670724,7.04892239963112e-183,0.688034153327867,0.365319770047249,312.75
1,2,"hierarchical",1000,0,0.987410626152936,1.46858627300247e-188,0.338813462063903,0.1526279774037,238.858
2,2,"hierarchical",1000,0,0.465319844647635,6.46899202827056e-171,0.00242868690890459,0.582992599150632,299.336
